0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:02:00 +0530] "GET /ShoppersChoiceFrontend/resources/images/320.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:02:00 +0530] "GET /ShoppersChoiceFrontend/resources/images/323.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:02:00 +0530] "GET /ShoppersChoiceFrontend/resources/images/326.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:02:00 +0530] "GET /ShoppersChoiceFrontend/resources/images/330.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:02:00 +0530] "GET /ShoppersChoiceFrontend/resources/images/333.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:02:00 +0530] "GET /ShoppersChoiceFrontend/resources/images/336.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:02:00 +0530] "GET /ShoppersChoiceFrontend/resources/images/339.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:02:00 +0530] "GET /ShoppersChoiceFrontend/resources/images/342.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:02:00 +0530] "GET /ShoppersChoiceFrontend/resources/images/345.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:02:00 +0530] "GET /ShoppersChoiceFrontend/resources/images/348.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:02:00 +0530] "GET /ShoppersChoiceFrontend/resources/images/351.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:02:00 +0530] "GET /ShoppersChoiceFrontend/resources/images/357.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:02:00 +0530] "GET /ShoppersChoiceFrontend/resources/images/360.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:02:00 +0530] "GET /ShoppersChoiceFrontend/resources/images/363.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:02:00 +0530] "GET /ShoppersChoiceFrontend/resources/images/354.png HTTP/1.1" 404 992
